loan_applicant_id,age,education,years_with_current_employer,years_at_current_address,household_income,debt_to_income_ratio,credit_card_debt,other_debt,y
191,44,university.degree,10,20,192,12.11664498,14.37731294,8.886645426,1
34318,34,high.school,3,18,57,14.26422878,5.137880496,2.992729905,0
14932,45,university.degree,14,24,212,7.285681303,10.46030557,4.985338793,0
2776,33,illiterate,12,5,418,11.38627229,3.040188811,44.55442934,1
11915,20,basic,4,19,122,28.41849366,14.56045016,20.1101121,0
21925,26,illiterate,13,3,199,23.25036345,31.39680249,14.87142077,0
15110,53,university.degree,26,18,24,13.97649074,2.297077198,1.057280581,0
19944,55,university.degree,0,18,152,3.862958204,1.216086366,4.655610104,0
22850,26,university.degree,5,15,228,21.00336042,26.85687532,21.03078643,0
37927,56,high.school,17,19,14,1.550729252,0.060732469,0.156369626,0
34060,28,basic,21,17,235,26.1088064,15.52406703,45.831628,0
32789,56,professional.course,23,21,111,4.017268957,1.551247237,2.907921306,0
6868,45,high.school,20,12,63,21.31056844,8.4052439,5.02041422,0
2079,35,illiterate,29,22,155,16.64336798,17.48872323,8.308497134,1
5047,40,university.degree,25,11,224,20.75094469,33.63717506,12.84494105,0
33817,47,illiterate,24,30,104,8.953051188,3.181440505,6.12973273,0
36588,44,professional.course,1,7,160,11.81653157,2.303658316,16.60279219,0
11985,47,professional.course,24,0,137,2.607666711,2.093790975,1.478712419,0
19892,23,professional.course,24,24,110,17.82385208,4.319463152,15.28677413,0
5794,38,high.school,3,27,146,20.49118389,22.59028797,7.32684051,0
13319,37,high.school,24,24,165,29.15131668,17.03245984,31.06721268,0
722,37,professional.course,13,12,406,28.44818329,17.80497913,97.69464503,1
8320,35,university.degree,9,2,15,25.91547632,2.019765547,1.867555901,0
2984,31,basic,18,0,242,24.29509689,15.71948826,43.07464621,1
33231,23,professional.course,25,25,217,8.67931805,2.161488177,16.67263199,0
37071,31,professional.course,22,31,229,7.623813371,10.14644947,7.312083149,0
21791,46,high.school,23,29,160,12.06660812,6.090947825,13.21562516,0
4746,22,high.school,22,8,131,9.632985434,7.080280929,5.538929989,0
31031,39,professional.course,11,1,104,12.51353777,9.398169365,3.615909918,0
16091,43,basic,10,5,67,1.292190146,0.142635039,0.723132358,0
5430,29,high.school,17,17,106,29.08895696,15.46629838,15.367996,0
35381,55,illiterate,25,11,204,25.93386245,23.99050591,28.91457349,0
268,40,university.degree,20,0,331,20.25609395,35.14624005,31.90143094,1
18698,28,university.degree,4,7,193,23.00130471,15.30269662,29.08982147,0
28823,51,university.degree,10,27,224,20.18757965,31.62666923,13.59350919,0
26939,52,basic,7,20,199,30.30687385,20.84461721,39.46606175,0
4134,24,illiterate,2,23,207,11.65766569,1.594301699,22.53706628,1
30965,32,high.school,9,24,91,14.53502187,7.399543179,5.827326722,0
15346,28,professional.course,15,19,20,28.8501533,2.338828337,3.431202322,0
7748,25,high.school,7,13,54,1.744759005,0.162162585,0.780007278,0
4151,48,basic,13,25,267,27.67267979,18.28514293,55.6009121,1
21978,38,professional.course,16,13,109,17.23320214,9.63299808,9.151192255,0
3241,47,professional.course,23,14,228,14.31496648,2.076286772,30.5618368,1
37478,45,basic,27,7,197,12.63439979,17.81220001,7.077567575,0
5690,52,basic,2,19,111,13.92834722,10.13838491,5.322080503,0
837,40,university.degree,26,13,413,18.72256209,56.526288,20.79789341,1
16357,54,professional.course,17,7,44,17.96857449,5.736025017,2.170147757,0
32256,24,university.degree,14,3,65,10.2719658,2.890318058,3.786459711,0
20865,34,professional.course,27,28,171,30.27163229,5.237066097,46.52742513,0
39734,45,illiterate,6,24,135,8.50359034,7.329584123,4.150262835,0
20744,43,professional.course,18,27,218,27.41193441,32.52288896,27.23512805,0
40508,49,university.degree,8,6,34,11.02134401,2.36252208,1.384734883,0
19201,46,illiterate,8,10,48,2.64777711,0.732375404,0.538557608,0
6174,50,university.degree,13,19,77,11.42978509,6.125256062,2.675678458,0
33821,25,professional.course,2,19,63,0.746757579,0.256090267,0.214367007,0
1610,55,professional.course,0,17,66,33.35973395,16.7725288,5.244895608,1
29463,26,basic,13,7,36,20.36737649,2.370990632,4.961264903,0
28665,36,professional.course,0,6,192,9.28698587,8.324421785,9.506591085,0
40675,37,professional.course,25,28,149,11.44551112,0.989805551,16.06400602,0
